2014-10-01|01:00|Parcialmente cubierto|22|En calma|88%|1020 hPa
2014-10-01|01:30|Parcialmente cubierto|22|2 km/h|88%|1020 hPa
2014-10-01|02:00|Parcialmente cubierto|21|En calma|94%|1020 hPa
2014-10-01|02:30|Parcialmente cubierto|22|4 km/h|88%|1019 hPa
2014-10-01|03:00|Parcialmente cubierto|22|En calma|88%|1019 hPa
2014-10-01|03:30|Parcialmente cubierto|21|6 km/h|94%|1020 hPa
2014-10-01|04:00|Mayormente cubierto|21|4 km/h|94%|1020 hPa
2014-10-01|04:30|Mayormente cubierto|21|6 km/h|94%|1021 hPa
2014-10-01|05:00|Mayormente cubierto|22|9 km/h|88%|1020 hPa
2014-10-01|05:30|Parcialmente cubierto|22|9 km/h|88%|1020 hPa
2014-10-01|06:00|Parcialmente cubierto|22|6 km/h|88%|1020 hPa
2014-10-01|06:30|Parcialmente cubierto|22|6 km/h|88%|1020 hPa
2014-10-01|07:00|Parcialmente cubierto|22|4 km/h|83%|1020 hPa
2014-10-01|07:30|Nubes dispersas|22|11 km/h|83%|1020 hPa
2014-10-01|08:00|Nubes dispersas|21|11 km/h|88%|1020 hPa
2014-10-01|08:30|Nubes dispersas|21|6 km/h|88%|1020 hPa
2014-10-01|09:00|Nubes dispersas|22|11 km/h|83%|1021 hPa
2014-10-01|09:30|Nubes dispersas|22|13 km/h|83%|1021 hPa
2014-10-01|10:00|Nubes dispersas|22|13 km/h|88%|1021 hPa
2014-10-01|10:30|Parcialmente cubierto|22|6 km/h|83%|1021 hPa
2014-10-01|11:00|Nubes dispersas|23|13 km/h|83%|1021 hPa
2014-10-01|11:30|Nubes dispersas|23|9 km/h|83%|1022 hPa
2014-10-01|12:00|Nubes dispersas|23|13 km/h|83%|1022 hPa
2014-10-01|12:30|Nubes dispersas|23|11 km/h|83%|1022 hPa
2014-10-01|13:00|Nubes dispersas|22|13 km/h|88%|1021 hPa
2014-10-01|13:30|Nubes dispersas|22|6 km/h|88%|1021 hPa
2014-10-01|14:00|Nubes dispersas|23|11 km/h|83%|1021 hPa
2014-10-01|14:30|Nubes dispersas|23|17 km/h|78%|1020 hPa
2014-10-01|15:00|Nubes dispersas|24|11 km/h|78%|1020 hPa
2014-10-01|15:30|Nubes dispersas|24|11 a 32 km/h|78%|1020 hPa
2014-10-01|16:00|Nubes dispersas|24|6 km/h|78%|1020 hPa
2014-10-01|16:30|Nubes dispersas|24|15 km/h|78%|1020 hPa
2014-10-01|17:00|Nubes dispersas|24|11 km/h|78%|1020 hPa
2014-10-01|17:30|Nubes dispersas|23|7 km/h|83%|1020 hPa
2014-10-01|18:00|Nubes dispersas|24|9 km/h|78%|1020 hPa
2014-10-01|18:30|Nubes dispersas|23|13 km/h|83%|1019 hPa
2014-10-01|19:00|Nubes dispersas|23|11 km/h|83%|1020 hPa
2014-10-01|19:30|Nubes dispersas|23|2 km/h|83%|1019 hPa
2014-10-01|20:00|Nubes dispersas|22|7 km/h|88%|1019 hPa
2014-10-01|20:30|Nubes dispersas|22|7 km/h|88%|1019 hPa
2014-10-01|21:00|Nubes dispersas|22|4 km/h|88%|1020 hPa
